A 	Augsburg
AA 	Ostalbkreis
AB 	Aschaffenburg
ABG 	Altenburger Land
ABI 	Anhalt-Bitterfeld
AC 	Aachen
AE 	Vogtlandkreis
AIC 	Aichach/Friedberg
AK 	Altenkirchen Westerwald
ALF 	Hildesheim
AM 	Amberg, Stadt
AN 	Ansbach
ANA 	Erzgebirgskreis
AÖ 	Altötting
AP 	Weimarer Land
APD 	Weimarer Land
ARN 	Ilm-Kreis
ART 	Kyffhäuser Kreis
AS 	Amberg-Sulzbach
ASL 	Salzlandkreis
ASZ 	Erzgebirgskreis
AU 	Erzgebirgskreis
AUR 	Aurich
AW 	Ahrweiler
AZ 	Alzey-Worms
AZE 	Anhalt-Bitterfeld


B 	Berlin
BA 	Bamberg
BAD 	Baden-Baden, Stadt
BAR 	Barnim
BB 	Böblingen
BBG 	Salzlandkreis
BC 	Biberach Riß
BED 	Mittelsachsen
BGL 	Berchtesgadener Land
BI 	Bielefeld, Stadt
BID 	Marburg-Biedenkopf
BIN 	Mainz-Bingen
BIR 	Birkenfeld Nahe-Kreis, Idar Oberstein, Stadt
BIT 	Bitburg-Prüm
BIW 	Bautzen
BK 	Börde
BKS 	Bernkastel-Wittlich
BL 	Zollernalbkreis
BLB 	Siegen-Wittgenstein
BLK 	Burgenland
BM 	Rhein-Erft-Kreis
BN 	Bonn, Stadt
BNA 	Leipzig
BO 	Bochum, Stadt
BÖ 	Börde
BOR 	Borken
BOT 	Bottrop, Stadt
BRA 	Wesermarsch
BRB 	Brandenburg, Stadt
BRG 	Jerichower Land
BRL 	Goslar
BRV 	Rotenburg (Wümme)
BS 	Braunschweig, Stadt
BT 	Bayreuth
BTF 	Anhalt-Bitterfeld
BÜD 	Wetteraukreis
BÜS 	Konstanz, Gemeinde Büsingen am Hochrhein
BZ 	Bautzen


C 	Chemnitz, Stadt
CAS 	Recklinghausen
CB 	Cottbus
CE 	Celle
CHA 	Cham
CLP 	Cloppenburg
CLZ 	Goslar
CO 	Coburg
COC 	Cochem-Zell
COE 	Coesfeld
CUX 	Cuxhaven
CW 	Calw


D 	Düsseldorf, Stadt
DA 	Darmstadt
DAH 	Dachau
DAN 	Lüchow-Dannenberg
DAU 	Daun
DD 	Dresden, Stadt
DE 	Dessau-Roßlau, Stadt
DEG 	Deggendorf
DEL 	Delmenhorst, Stadt
DGF 	Dingolfing-Landau
DH 	Diepolz
DI 	Darmstadt-Dieburg
DIN 	Wesel
DL 	Mittelsachsen
DLG 	Dillingen a. d. Donau
DM 	Demmin
DN 	Düren
DO 	Dortmund, Stadt
DON 	Donau-Ries in Donauwörth
DU 	Duisburg, Stadt
DUD 	Göttingen
DÜW 	Bad Dürkheim Weinstraße
DW 	Sächsische Schweiz-Osterzgebirge
DZ 	Nordsachsen


E 	Essen, Stadt
EA 	Eisenach, Stadt
EB 	Nordsachsen
EBE 	Ebersberg
ECK 	Rendsburg-Eckernförde
ED 	Erding
EE 	Elbe-Elster
EF 	Erfurt, Stadt
EI 	Eichstätt
EIC 	Eichsfeld
EIL 	Mansfeld-Südharz
EIN 	Northeim
EIS 	Saale-Holzland-Kreis
EL 	Emsland
EM 	Emmendingen
EMD 	Emden
EMS 	Rhein-Lahn-Kreis
EN 	Ennepe-Ruhr-Kreis
ER 	Erlangen, Stadt
ERB 	Odenwaldkreis
ERH 	Erlangen-Höchstädt
ERZ 	Erzgebirgskreis
ES 	Esslingen Neckar
ESW 	Werra-Meissner-Kreis
EU 	Euskirchen


F 	Frankfurt/Main, Stadt
FB 	Wetteraukreis in Friedberg Hessen
FD 	Fulda
FDS 	Freudenstadt
FF 	Frankfurt (Oder), Stadt
FFB 	Fürstenfeldbruck
FG 	Mittelsachsen
FL 	Flensburg
FLÖ 	Mittelsachsen
FN 	Bodenseekreis
FO 	Forchheim
FR 	Freiburg Breisgau
FRG 	Freyung-Grafenau
FRI 	Friesland
FS 	Freising
FT 	Frankenthal Pfalz, Stadt
FTL 	Sächsische Schweiz-Osterzgebirge
FÜ 	Fürth


G 	Gera, Stadt
GA 	Altmarkkreis Salzwedel
GAN 	Northeim
GAP 	Garmisch-Partenkirchen
GC 	Zwickau
GE 	Gelsenkirchen, Stadt
GER 	Germersheim
